session_id,Championship,Year,Date,Event,track,session,Enable,fuel_penalty,race_laps,pit_loss,pit_loss_vsc,grid_loss,pdf_flag,rawtiming_flag,Prime_Tyre,Option_Tyre
F2_19R03BCN_P1,F2,19,10/05/2019 12:00,R03BCN,BCN,P1,1,0.058,,32,28,,1,1,Hard,Soft
F2_19R03BCN_Q1,F2,19,10/05/2019 12:00,R03BCN,BCN,Q1,1,0.058,,32,28,,1,1,Hard,Soft
F2_19R03BCN_R1,F2,19,11/05/2019 12:00,R03BCN,BCN,R1,1,0.058,37,32,28,1.3,1,1,Hard,Soft
F2_19R03BCN_R2,F2,19,12/05/2019 12:00,R03BCN,BCN,R2,1,0.058,26,32,28,0.61,1,1,Hard,Soft
F2_19R04MNC_P1,F2,19,23/05/2019 12:00,R04MNC,MNC,P1,1,0.04,,26,21.4,,1,1,Soft,SuperSoft
F2_19R04MNC_Q1,F2,19,23/05/2019 12:00,R04MNC,MNC,Q1,1,0.04,,26,21.4,,1,1,Soft,SuperSoft
F2_19R04MNC_Q2,F2,19,23/05/2019 12:00,R04MNC,MNC,Q2,1,0.04,,26,21.4,,1,1,Soft,SuperSoft
F2_19R04MNC_R1,F2,19,24/05/2019 12:00,R04MNC,MNC,R1,1,0.04,42,26,21.4,0.76,1,1,Soft,SuperSoft
F2_19R04MNC_R2,F2,19,25/05/2019 12:00,R04MNC,MNC,R2,1,0.04,30,26,21.4,0.74,1,1,Soft,SuperSoft
F2_19R05CAS_P1,F2,19,21/06/2019 12:00,R05CAS,CAS,P1,1,0.085,,33.7,30.2,,1,1,Hard,Soft
F2_19R05CAS_Q1,F2,19,21/06/2019 12:00,R05CAS,CAS,Q1,1,0.085,,33.7,30.2,,1,1,Hard,Soft
F2_19R05CAS_R1,F2,19,22/06/2019 12:00,R05CAS,CAS,R1,1,0.085,30,33.7,30.2,1.01,1,1,Hard,Soft
F2_19R05CAS_R2,F2,19,23/06/2019 12:00,R05CAS,CAS,R2,1,0.085,21,33.7,30.2,0.64,1,1,Hard,Soft
F2_19R06AUT_P1,F2,19,28/06/2019 12:00,R06AUT,AUT,P1,1,0.05,,28.3,23,,1,1,Soft,SuperSoft
F2_19R06AUT_Q1,F2,19,28/06/2019 12:00,R06AUT,AUT,Q1,1,0.05,,28.3,23,,1,1,Soft,SuperSoft
F2_19R06AUT_R1,F2,19,29/06/2019 12:00,R06AUT,AUT,R1,1,0.05,40,28.3,23,0.48,1,1,Soft,SuperSoft
F2_19R06AUT_R2,F2,19,30/06/2019 12:00,R06AUT,AUT,R2,1,0.05,28,28.3,23,0.47,1,1,Soft,SuperSoft
F2_19R07SIL_P1,F2,19,12/07/2019 12:00,R07SIL,SIL,P1,1,0.089,,35.1,28.9,,1,1,Hard,Soft
F2_19R07SIL_Q1,F2,19,12/07/2019 12:00,R07SIL,SIL,Q1,1,0.089,,35.1,28.9,,1,1,Hard,Soft
F2_19R07SIL_R1,F2,19,13/07/2019 12:00,R07SIL,SIL,R1,1,0.089,29,35.1,28.9,0.53,1,1,Hard,Soft
F2_19R07SIL_R2,F2,19,14/07/2019 12:00,R07SIL,SIL,R2,1,0.089,21,35.1,28.9,0.46,1,1,Hard,Soft
F2_19R08BUD_P1,F2,19,02/08/2019 12:00,R08BUD,BUD,P1,1,0.055,,32,26.3,,1,1,Medium,Soft
F2_19R08BUD_Q1,F2,19,02/08/2019 12:00,R08BUD,BUD,Q1,1,0.055,,32,26.3,,1,1,Medium,Soft
F2_19R08BUD_R1,F2,19,03/08/2019 12:00,R08BUD,BUD,R1,1,0.055,37,32,26.3,0.58,1,1,Medium,Soft
F2_19R08BUD_R2,F2,19,04/08/2019 12:00,R08BUD,BUD,R2,1,0.055,28,32,26.3,0.67,1,1,Medium,Soft
F2_19R09SPA_P1,F2,19,30/08/2019 12:00,R09SPA,SPA,P1,1,0.11,,31.5,25.7,,1,1,Medium,Soft
F2_19R09SPA_R2,F2,19,01/09/2019 12:00,R09SPA,SPA,R2,0,0.11,18,31.5,25.7,,0,1,Medium,Soft
F2_19R09SPA_Q1,F2,19,30/08/2019 12:00,R09SPA,SPA,Q1,1,0.11,,31.5,25.7,,1,1,Medium,Soft
F2_19R09SPA_R1,F2,19,31/08/2019 12:00,R09SPA,SPA,R1,1,0.11,25,31.5,25.7,,0,1,Medium,Soft
F2_19R10MON_P1,F2,19,06/09/2019 12:00,R10MON,MON,P1,1,0.066,,35.4,32,,1,1,Medium,Soft
F2_19R10MON_Q1,F2,19,06/09/2019 12:00,R10MON,MON,Q1,1,0.066,,35.4,32,,1,1,Medium,Soft
F2_19R10MON_R1,F2,19,07/09/2019 12:00,R10MON,MON,R1,1,0.066,30,35.4,32,0.55,1,1,Medium,Soft
