session,driver,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,startpos
F2_19R01BAH_R1,LAT,M,S,,,,,,,,,4
F2_19R01BAH_R1,GHI,M,S,,,,,,,,,1
F2_19R01BAH_R1,SET,M,S,,,,,,,,,8
F2_19R01BAH_R1,HUB,M,S,,,,,,,,,11
F2_19R01BAH_R1,DEL,M,S,,,,,,,,,2
F2_19R01BAH_R1,DEV,M,S,,,,,,,,,3
F2_19R01BAH_R1,AIT,M,S,,,,,,,,,5
F2_19R01BAH_R1,SCH,M,S,,,,,,,,,10
F2_19R01BAH_R1,MAT,M,S,,,,,,,,,6
F2_19R01BAH_R1,ZHO,M,S,,,,,,,,,17
F2_19R01BAH_R1,BOS,M,S,,,,,,,,,9
F2_19R01BAH_R1,ALE,M,S,,,,,,,,,15
F2_19R01BAH_R1,CAL,M,S,,,,,,,,,19
F2_19R01BAH_R1,ILO,M,S,,,,,,,,,18
F2_19R01BAH_R1,BOC,M,S,,,,,,,,,16
F2_19R01BAH_R1,COR,M,S,,,,,,,,,12
F2_19R01BAH_R1,KIN,M,S,,,,,,,,,14
F2_19R01BAH_R1,RAG,M,S,,,,,,,,,20
F2_19R01BAH_R1,MAZ,M,S,,,,,,,,,13
F2_19R01BAH_R1,GEL,M,,,,,,,,,,7
F2_19R01BAH_R2,GHI,M,S,,,,,,,,,7
F2_19R01BAH_R2,SET,M,,,,,,,,,,6
F2_19R01BAH_R2,LAT,M,,,,,,,,,,8
F2_19R01BAH_R2,ZHO,M,,,,,,,,,,10
F2_19R01BAH_R2,DEL,M,,,,,,,,,,4
F2_19R01BAH_R2,SCH,M,,,,,,,,,,1
F2_19R01BAH_R2,DEV,M,S,,,,,,,,,3
F2_19R01BAH_R2,KIN,M,S,,,,,,,,,17
F2_19R01BAH_R2,HUB,M,S,,,,,,,,,17
F2_19R01BAH_R2,GEL,S,S,,,,,,,,,20
F2_19R01BAH_R2,AIT,M,,,,,,,,,,2
F2_19R01BAH_R2,MAT,M,S,,,,,,,,,9
F2_19R01BAH_R2,MAZ,M,S,,,,,,,,,19
F2_19R01BAH_R2,BOS,M,,,,,,,,,,11
F2_19R01BAH_R2,CAL,M,,,,,,,,,,13
F2_19R01BAH_R2,ILO,M,,,,,,,,,,14
F2_19R01BAH_R2,BOC,M,S,,,,,,,,,15
F2_19R01BAH_R2,ALE,M,S,,,,,,,,,12
F2_19R01BAH_R2,COR,M,,,,,,,,,,16
F2_19R01BAH_R2,RAG,M,,,,,,,,,,18
F2_19R02BAK_R1,AIT,SS,M,,,,,,,,,8
F2_19R02BAK_R1,DEV,SS,M,,,,,,,,,2
F2_19R02BAK_R1,KIN,SS,M,,,,,,,,,5
F2_19R02BAK_R1,LAT,SS,M,,,,,,,,,7
F2_19R02BAK_R1,BOC,SS,M,,,,,,,,,16
F2_19R02BAK_R1,GHI,SS,M,SS,,,,,,,,3
F2_19R02BAK_R1,GEL,SS,M,,,,,,,,,19
F2_19R02BAK_R1,COR,SS,M,,,,,,,,,17
F2_19R02BAK_R1,MAZ,SS,M,,,,,,,,,15
F2_19R02BAK_R1,HUB,SS,M,,,,,,,,,9
F2_19R02BAK_R1,RAG,SS,M,,,,,,,,,20
F2_19R02BAK_R1,BOS,SS,M,,,,,,,,,10
F2_19R02BAK_R1,MAT,SS,SS,M,M,,,,,,,1
F2_19R02BAK_R1,SET,SS,M,,,,,,,,,4
F2_19R02BAK_R1,DEL,SS,M,,,,,,,,,12
F2_19R02BAK_R1,ILO,SS,SS,M,,,,,,,,11
F2_19R02BAK_R1,CAL,M,,,,,,,,,,18
F2_19R02BAK_R1,ZHO,SS,M,,,,,,,,,13
F2_19R02BAK_R1,SCH,SS,M,,,,,,,,,6
F2_19R02BAK_R2,LAT,M,,,,,,,,,,4
F2_19R02BAK_R2,COR,M,,,,,,,,,,2
F2_19R02BAK_R2,AIT,M,,,,,,,,,,8
F2_19R02BAK_R2,DEV,M,,,,,,,,,,7
F2_19R02BAK_R2,SCH,M,,,,,,,,,,19
F2_19R02BAK_R2,SET,M,,,,,,,,,,14
F2_19R02BAK_R2,BOC,M,,,,,,,,,,6
F2_19R02BAK_R2,GEL,M,,,,,,,,,,3
F2_19R02BAK_R2,ILO,M,,,,,,,,,,16
F2_19R02BAK_R2,ZHO,M,,,,,,,,,,18
F2_19R02BAK_R2,HUB,M,,,,,,,,,,10
F2_19R02BAK_R2,MAT,M,,,,,,,,,,13
F2_19R02BAK_R2,RAG,M,,,,,,,,,,11
F2_19R02BAK_R2,GHI,M,,,,,,,,,,9
F2_19R02BAK_R2,KIN,M,,,,,,,,,,5
F2_19R02BAK_R2,MAZ,M,,,,,,,,,,1
F2_19R02BAK_R2,ALE,M,,,,,,,,,,20
F2_19R03BCN_R1,LAT,S,H,,,,,,,,,2
F2_19R03BCN_R1,AIT,S,H,,,,,,,,,8
F2_19R03BCN_R1,ZHO,S,H,,,,,,,,,3
F2_19R03BCN_R1,GHI,S,H,,,,,,,,,1
F2_19R03BCN_R1,DEV,S,H,,,,,,,,,4
F2_19R03BCN_R1,HUB,H,S,,,,,,,,,15
F2_19R03BCN_R1,KIN,H,S,,,,,,,,,16
F2_19R03BCN_R1,ILO,S,H,,,,,,,,,5
F2_19R03BCN_R1,GEL,S,H,,,,,,,,,13
F2_19R03BCN_R1,BOS,H,S,,,,,,,,,7
F2_19R03BCN_R1,MAT,S,H,,,,,,,,,10
F2_19R03BCN_R1,DEL,S,H,,,,,,,,,14
F2_19R03BCN_R1,CAL,S,H,,,,,,,,,20
F2_19R03BCN_R1,BOC,S,S,H,,,,,,,,12
F2_19R03BCN_R1,SCH,S,H,S,S,,,,,,,9
F2_19R03BCN_R1,RAG,H,S,,,,,,,,,19
F2_19R03BCN_R1,MAZ,S,H,,,,,,,,,11
F2_19R03BCN_R1,COR,H,S,,,,,,,,,18
F2_19R03BCN_R1,SET,S,H,H,H,,,,,,,6
F2_19R03BCN_R2,DEV,H,,,,,,,,,,4
F2_19R03BCN_R2,GHI,H,,,,,,,,,,5
F2_19R03BCN_R2,ILO,H,,,,,,,,,,1
F2_19R03BCN_R2,ZHO,H,,,,,,,,,,6
F2_19R03BCN_R2,HUB,H,,,,,,,,,,3
F2_19R03BCN_R2,LAT,H,,,,,,,,,,8
F2_19R03BCN_R2,KIN,H,,,,,,,,,,2
F2_19R03BCN_R2,SCH,H,,,,,,,,,,15
F2_19R03BCN_R2,AIT,H,,,,,,,,,,7
F2_19R03BCN_R2,GEL,H,,,,,,,,,,9
F2_19R03BCN_R2,BOS,H,,,,,,,,,,10
F2_19R03BCN_R2,DEL,H,,,,,,,,,,12
F2_19R03BCN_R2,CAL,H,,,,,,,,,,13
F2_19R03BCN_R2,MAZ,H,,,,,,,,,,17
F2_19R03BCN_R2,SET,H,,,,,,,,,,18
F2_19R03BCN_R2,COR,H,,,,,,,,,,19
F2_19R03BCN_R2,ALE,H,,,,,,,,,,20
F2_19R03BCN_R2,BOC,H,,,,,,,,,,14
F2_19R03BCN_R2,RAG,H,,,,,,,,,,16
F2_19R04MNC_R1,DEV,S,S,SS,,,,,,,,1
F2_19R04MNC_R1,GHI,S,S,SS,,,,,,,,3
F2_19R04MNC_R1,MAT,S,S,SS,,,,,,,,9
F2_19R04MNC_R1,SET,S,S,SS,,,,,,,,5
F2_19R04MNC_R1,BOC,S,S,SS,,,,,,,,13
F2_19R04MNC_R1,ZHO,S,SS,SS,,,,,,,,16
F2_19R04MNC_R1,MAR,S,SS,SS,,,,,,,,11
F2_19R04MNC_R1,DEL,SS,S,S,,,,,,,,10
F2_19R04MNC_R1,HUB,SS,S,S,,,,,,,,7
F2_19R04MNC_R1,BOS,SS,S,S,,,,,,,,14
F2_19R04MNC_R1,MAZ,SS,S,S,,,,,,,,12
F2_19R04MNC_R1,ALE,SS,S,S,,,,,,,,17
F2_19R04MNC_R1,LAT,SS,S,S,S,,,,,,,8
F2_19R04MNC_R1,SCH,SS,S,S,S,,,,,,,4
F2_19R04MNC_R1,RAG,SS,S,S,,,,,,,,20
F2_19R04MNC_R1,CAL,S,S,SS,SS,,,,,,,19
F2_19R04MNC_R1,COR,S,SS,,,,,,,,,15
